Timestamp,Person,Spoofing,Authorized,Face_Image
2025-11-16_20-57-04,Mark1,Real,Yes,Authorized\2025-11-16_20-57-04_Mark1.jpg
2025-11-16_20-59-33,Mark1,Real,Yes,Authorized\2025-11-16_20-59-33_Mark1.jpg
2025-11-16_20-59-45,Mark1,Real,Yes,Authorized\2025-11-16_20-59-45_Mark1.jpg
2025-11-16_22-49-22,Mark1,Real,Yes,Authorized\2025-11-16_22-49-22_Mark1.jpg
2025-11-16_23-16-11,Mark1,Real,Yes,Authorized\2025-11-16_23-16-11_Mark1.jpg
2025-11-16_23-16-20,Mark1,Real,Yes,Authorized\2025-11-16_23-16-20_Mark1.jpg
2025-11-16_23-16-34,Mark1,Real,Yes,Authorized\2025-11-16_23-16-34_Mark1.jpg
2025-11-16_23-17-10,Mark1,Real,Yes,Authorized\2025-11-16_23-17-10_Mark1.jpg
2025-11-19_00-18-07,Ongsa,Real,Yes,Authorized\2025-11-19_00-18-07_Ongsa.jpg
2025-11-19_00-18-22,Mark,Real,Yes,Authorized\2025-11-19_00-18-22_Mark.jpg
2025-11-19_00-18-34,Mark,Real,Yes,Authorized\2025-11-19_00-18-34_Mark.jpg
2025-11-19_00-18-53,Mark,Real,Yes,Authorized\2025-11-19_00-18-53_Mark.jpg
2025-11-19_00-21-08,Ongsa,Real,No,Unauthorized\2025-11-19_00-21-08_Ongsa.jpg
2025-11-19_00-21-15,Unknown,Real,No,Unauthorized\2025-11-19_00-21-15_Unknown.jpg
2025-11-19_00-21-36,Unknown,Real,No,Unauthorized\2025-11-19_00-21-36_Unknown.jpg
2025-11-19_00-22-07,Mark,Real,No,Unauthorized\2025-11-19_00-22-07_Mark.jpg
2025-11-19_00-22-09,Mark,Real,No,Unauthorized\2025-11-19_00-22-09_Mark.jpg
2025-11-19_00-22-10,Mark,Real,No,Unauthorized\2025-11-19_00-22-10_Mark.jpg
2025-11-19_00-22-39,Ongsa,Real,Yes,Authorized\2025-11-19_00-22-39_Ongsa.jpg
2025-11-19_00-22-53,Mark,Real,Yes,Authorized\2025-11-19_00-22-53_Mark.jpg
2025-11-19_00-23-42,Unknown,Real,No,Unauthorized\2025-11-19_00-23-42_Unknown.jpg
2025-11-19_00-24-47,Ongsa,Real,Yes,Authorized\2025-11-19_00-24-47_Ongsa.jpg
2025-11-19_00-25-06,Mark,Real,Yes,Authorized\2025-11-19_00-25-06_Mark.jpg
2025-11-19_00-26-42,Ongsa,Real,Yes,Authorized\2025-11-19_00-26-42_Ongsa.jpg
2025-11-19_00-26-51,Mark,Real,Yes,Authorized\2025-11-19_00-26-51_Mark.jpg
2025-11-19_00-27-38,Ongsa,Real,Yes,Authorized\2025-11-19_00-27-38_Ongsa.jpg
2025-11-19_00-28-33,Unknown,Real,No,Unauthorized\2025-11-19_00-28-33_Unknown.jpg
2025-11-19_00-28-58,Unknown,Real,No,Unauthorized\2025-11-19_00-28-58_Unknown.jpg
2025-11-19_00-29-00,Unknown,Real,No,Unauthorized\2025-11-19_00-29-00_Unknown.jpg
2025-11-19_00-29-02,Unknown,Real,No,Unauthorized\2025-11-19_00-29-02_Unknown.jpg
2025-11-19_00-29-04,Unknown,Real,No,Unauthorized\2025-11-19_00-29-04_Unknown.jpg
2025-11-19_00-29-05,Unknown,Real,No,Unauthorized\2025-11-19_00-29-05_Unknown.jpg
2025-11-19_00-29-09,Unknown,Real,No,Unauthorized\2025-11-19_00-29-09_Unknown.jpg
2025-11-19_00-29-12,Unknown,Real,No,Unauthorized\2025-11-19_00-29-12_Unknown.jpg
2025-11-19_00-29-13,Unknown,Real,No,Unauthorized\2025-11-19_00-29-13_Unknown.jpg
2025-11-19_00-29-15,Unknown,Real,No,Unauthorized\2025-11-19_00-29-15_Unknown.jpg
2025-11-19_00-29-16,Unknown,Real,No,Unauthorized\2025-11-19_00-29-16_Unknown.jpg
2025-11-19_00-29-17,Unknown,Real,No,Unauthorized\2025-11-19_00-29-17_Unknown.jpg
2025-11-19_00-29-42,Ongsa,Real,Yes,Authorized\2025-11-19_00-29-42_Ongsa.jpg
2025-11-19_00-30-04,Ongsa,Real,Yes,Authorized\2025-11-19_00-30-04_Ongsa.jpg
2025-11-19_00-31-00,Ongsa,Real,Yes,Authorized\2025-11-19_00-31-00_Ongsa.jpg
2025-11-19_00-31-50,Ongsa,Real,Yes,Authorized\2025-11-19_00-31-50_Ongsa.jpg
2025-11-19_00-34-24,Ongsa,Real,Yes,Authorized\2025-11-19_00-34-24_Ongsa.jpg
2025-11-19_00-34-38,Unknown,Real,No,Unauthorized\2025-11-19_00-34-38_Unknown.jpg
2025-11-19_00-35-00,Unknown,Real,No,Unauthorized\2025-11-19_00-35-00_Unknown.jpg
2025-11-19_00-35-03,Ongsa,Real,Yes,Authorized\2025-11-19_00-35-03_Ongsa.jpg
2025-11-19_00-35-16,Unknown,Real,No,Unauthorized\2025-11-19_00-35-16_Unknown.jpg
2025-11-19_00-35-18,Mark,Real,Yes,Authorized\2025-11-19_00-35-18_Mark.jpg
2025-11-19_00-42-22,Unknown,Fake,No,Unauthorized\2025-11-19_00-42-22_Unknown.jpg
2025-11-19_00-42-30,Unknown,Fake,No,Unauthorized\2025-11-19_00-42-30_Unknown.jpg
2025-11-19_00-42-38,Unknown,Fake,No,Unauthorized\2025-11-19_00-42-38_Unknown.jpg
2025-11-19_00-47-00,Unknown,Real,No,Unauthorized\2025-11-19_00-47-00_Unknown.jpg
2025-11-19_00-47-04,Unknown,Real,No,Unauthorized\2025-11-19_00-47-04_Unknown.jpg
2025-11-19_00-47-08,Peem,Real,Yes,Authorized\2025-11-19_00-47-08_Peem.jpg
2025-11-19_00-47-21,Ongsa,Real,Yes,Authorized\2025-11-19_00-47-21_Ongsa.jpg
2025-11-19_00-47-33,Unknown,Real,No,Unauthorized\2025-11-19_00-47-33_Unknown.jpg
2025-11-19_00-47-35,Ongsa,Real,Yes,Authorized\2025-11-19_00-47-35_Ongsa.jpg
2025-11-19_00-48-40,Ongsa1,Real,Yes,Authorized\2025-11-19_00-48-40_Ongsa1.jpg
2025-11-19_00-49-05,Ongsa1,Fake,No,Unauthorized\2025-11-19_00-49-05_Ongsa1.jpg
2025-11-19_00-49-14,Ongsa1,Real,Yes,Authorized\2025-11-19_00-49-14_Ongsa1.jpg
2025-11-19_00-49-48,Ongsa1,Real,Yes,Authorized\2025-11-19_00-49-48_Ongsa1.jpg
2025-11-19_00-49-58,Mark1,Real,Yes,Authorized\2025-11-19_00-49-58_Mark1.jpg
2025-11-19_00-50-53,Mark1,Real,Yes,Authorized\2025-11-19_00-50-53_Mark1.jpg
2025-11-19_00-51-07,Mark1,Real,Yes,Authorized\2025-11-19_00-51-07_Mark1.jpg
2025-11-19_00-51-29,Peem1,Real,Yes,Authorized\2025-11-19_00-51-29_Peem1.jpg
2025-11-19_00-51-42,Mark1,Real,Yes,Authorized\2025-11-19_00-51-42_Mark1.jpg
2025-11-19_00-51-59,Mark1,Real,Yes,Authorized\2025-11-19_00-51-59_Mark1.jpg
2025-11-19_00-52-15,Mark1,Real,Yes,Authorized\2025-11-19_00-52-15_Mark1.jpg
2025-11-19_00-52-33,Mark1,Real,Yes,Authorized\2025-11-19_00-52-33_Mark1.jpg
2025-11-19_00-53-14,Ongsa1,Real,Yes,Authorized\2025-11-19_00-53-14_Ongsa1.jpg
2025-11-19_00-53-30,Ongsa1,Real,Yes,Authorized\2025-11-19_00-53-30_Ongsa1.jpg
2025-11-19_00-53-43,Ongsa1,Real,Yes,Authorized\2025-11-19_00-53-43_Ongsa1.jpg
2025-11-19_00-54-03,Mark1,Real,Yes,Authorized\2025-11-19_00-54-03_Mark1.jpg
2025-11-19_00-56-47,Ongsa1,Real,Yes,Authorized\2025-11-19_00-56-47_Ongsa1.jpg
2025-11-19_00-57-03,Ongsa1,Fake,No,Unauthorized\2025-11-19_00-57-03_Ongsa1.jpg
2025-11-19_00-57-04,Ongsa1,Fake,No,Unauthorized\2025-11-19_00-57-04_Ongsa1.jpg
2025-11-19_00-58-34,Ongsa1,Real,Yes,Authorized\2025-11-19_00-58-34_Ongsa1.jpg
2025-11-19_00-58-39,Ongsa1,Real,Yes,Authorized\2025-11-19_00-58-39_Ongsa1.jpg
2025-11-19_00-58-51,Ongsa1,Fake,No,Unauthorized\2025-11-19_00-58-51_Ongsa1.jpg
2025-11-19_00-58-52,Ongsa1,Fake,No,Unauthorized\2025-11-19_00-58-52_Ongsa1.jpg
2025-11-19_00-58-54,Ongsa1,Fake,No,Unauthorized\2025-11-19_00-58-54_Ongsa1.jpg
2025-11-19_00-58-55,Ongsa1,Fake,No,Unauthorized\2025-11-19_00-58-55_Ongsa1.jpg
2025-11-19_00-58-56,Ongsa1,Fake,No,Unauthorized\2025-11-19_00-58-56_Ongsa1.jpg
2025-11-19_00-58-59,Mark1,Real,Yes,Authorized\2025-11-19_00-58-59_Mark1.jpg
2025-11-19_00-59-32,Mark1,Real,Yes,Authorized\2025-11-19_00-59-32_Mark1.jpg
2025-11-19_01-00-18,Ongsa1,Real,Yes,Authorized\2025-11-19_01-00-18_Ongsa1.jpg
2025-11-19_01-01-02,Ongsa1,Real,No,Unauthorized\2025-11-19_01-01-02_Ongsa1.jpg
2025-11-19_01-01-11,Mark1,Real,Yes,Authorized\2025-11-19_01-01-11_Mark1.jpg
2025-11-19_01-01-22,Mark1,Real,No,Unauthorized\2025-11-19_01-01-22_Mark1.jpg
2025-11-19_01-01-25,Mark1,Real,No,Unauthorized\2025-11-19_01-01-25_Mark1.jpg
2025-11-19_01-01-26,Mark1,Real,No,Unauthorized\2025-11-19_01-01-26_Mark1.jpg
2025-11-19_01-01-27,Mark1,Real,No,Unauthorized\2025-11-19_01-01-27_Mark1.jpg
2025-11-19_01-01-28,Mark1,Real,No,Unauthorized\2025-11-19_01-01-28_Mark1.jpg
2025-11-19_01-01-53,Ongsa1,Real,No,Unauthorized\2025-11-19_01-01-53_Ongsa1.jpg
2025-11-19_01-02-01,Ongsa1,Real,Yes,Authorized\2025-11-19_01-02-01_Ongsa1.jpg
2025-11-19_01-02-09,Ongsa1,Real,No,Unauthorized\2025-11-19_01-02-09_Ongsa1.jpg
2025-11-19_01-02-11,Ongsa1,Real,No,Unauthorized\2025-11-19_01-02-11_Ongsa1.jpg
2025-11-19_01-02-15,Ongsa1,Real,No,Unauthorized\2025-11-19_01-02-15_Ongsa1.jpg
2025-11-19_01-03-18,Ongsa1,Real,No,Unauthorized\2025-11-19_01-03-18_Ongsa1.jpg
2025-11-19_01-03-40,Ongsa1,Real,No,Unauthorized\2025-11-19_01-03-40_Ongsa1.jpg
2025-11-19_01-03-48,Ongsa1,Real,No,Unauthorized\2025-11-19_01-03-48_Ongsa1.jpg
2025-11-19_01-03-53,Ongsa1,Real,Yes,Authorized\2025-11-19_01-03-53_Ongsa1.jpg
2025-11-19_01-04-00,Ongsa1,Real,Yes,Authorized\2025-11-19_01-04-00_Ongsa1.jpg
2025-11-19_01-04-09,Ongsa1,Real,Yes,Authorized\2025-11-19_01-04-09_Ongsa1.jpg
2025-11-19_01-04-24,Ongsa1,Real,Yes,Authorized\2025-11-19_01-04-24_Ongsa1.jpg
2025-11-19_01-04-31,Ongsa1,Real,No,Unauthorized\2025-11-19_01-04-31_Ongsa1.jpg
2025-11-19_01-04-41,Ongsa1,Real,No,Unauthorized\2025-11-19_01-04-41_Ongsa1.jpg
2025-11-19_01-04-43,Mark1,Real,No,Unauthorized\2025-11-19_01-04-43_Mark1.jpg
2025-11-19_01-04-47,Ongsa1,Real,No,Unauthorized\2025-11-19_01-04-47_Ongsa1.jpg
2025-11-19_01-04-48,Ongsa1,Real,No,Unauthorized\2025-11-19_01-04-48_Ongsa1.jpg
2025-11-19_01-04-51,Ongsa1,Real,Yes,Authorized\2025-11-19_01-04-51_Ongsa1.jpg
