epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9179,1.36801,2.50901,1.39085,0.81891,0.19441,0.46172,0.24588,1.28853,2.66348,1.34126,0.000545744,0.000545744,0.000545744
2,18.9786,1.32165,1.68398,1.32521,0.41484,0.66429,0.46839,0.26264,1.44131,2.1331,1.52313,0.00109051,0.00109051,0.00109051
3,26.7824,1.35897,1.57287,1.32874,0.38916,0.60043,0.38676,0.21261,1.4949,2.35273,1.51795,0.00162427,0.00162427,0.00162427
4,34.5218,1.35125,1.50865,1.3622,0.37724,0.46353,0.37447,0.20033,1.48523,2.38633,1.62203,0.00161749,0.00161749,0.00161749
5,42.3628,1.32052,1.40931,1.3575,0.51816,0.7159,0.61766,0.32961,1.39604,1.82314,1.47232,0.00160099,0.00160099,0.00160099
6,50.28,1.29768,1.31394,1.30842,0.52207,0.71331,0.63897,0.36346,1.44128,1.61315,1.43632,0.00158448,0.00158448,0.00158448
7,58.1944,1.23075,1.28273,1.28508,0.48777,0.65745,0.55917,0.29546,1.48151,1.72813,1.52494,0.00156798,0.00156798,0.00156798
8,66.6446,1.22553,1.16883,1.27193,0.54938,0.77396,0.72,0.44528,1.35681,1.54363,1.36883,0.00155148,0.00155148,0.00155148
9,75.0353,1.25849,1.17052,1.30625,0.66711,0.70185,0.70709,0.40831,1.53228,1.46719,1.62913,0.00153497,0.00153497,0.00153497
10,83.3203,1.2051,1.13683,1.2832,0.53324,0.75769,0.6558,0.37769,1.38016,1.4075,1.43265,0.00151847,0.00151847,0.00151847
11,91.4831,1.17964,1.10156,1.2448,0.75703,0.7238,0.80858,0.46661,1.44994,1.24073,1.45752,0.00150197,0.00150197,0.00150197
12,99.7188,1.15455,1.0465,1.2484,0.52859,0.81035,0.69293,0.41384,1.40135,1.38487,1.47698,0.00148546,0.00148546,0.00148546
13,107.981,1.13858,0.99202,1.2452,0.69821,0.71606,0.72813,0.44705,1.34061,1.22443,1.41778,0.00146896,0.00146896,0.00146896
14,116.24,1.1183,0.99698,1.23363,0.73191,0.71805,0.7729,0.48685,1.26047,1.2219,1.41748,0.00145246,0.00145246,0.00145246
15,124.587,1.12892,0.95007,1.23896,0.66437,0.83909,0.75727,0.44974,1.38342,1.21486,1.51448,0.00143595,0.00143595,0.00143595
16,132.936,1.11252,0.93186,1.22828,0.71139,0.71122,0.75566,0.45871,1.47246,1.40644,1.60249,0.00141945,0.00141945,0.00141945
17,141.468,1.09247,0.92858,1.21414,0.61596,0.83279,0.80728,0.49732,1.28881,1.22378,1.40783,0.00140295,0.00140295,0.00140295
18,149.831,1.08948,0.91518,1.22432,0.74165,0.77531,0.81194,0.47795,1.35092,1.17255,1.5363,0.00138644,0.00138644,0.00138644
19,158.22,1.08119,0.89757,1.20674,0.81161,0.72944,0.8186,0.50197,1.34429,1.21822,1.48831,0.00136994,0.00136994,0.00136994
20,166.614,1.0626,0.87594,1.21658,0.6889,0.69169,0.75848,0.48225,1.3054,1.28476,1.43586,0.00135344,0.00135344,0.00135344
21,175.139,1.04336,0.89542,1.20435,0.53373,0.78502,0.72605,0.43929,1.39378,1.39178,1.45633,0.00133693,0.00133693,0.00133693
22,183.628,1.02726,0.8339,1.19398,0.7613,0.79933,0.85132,0.50777,1.35325,1.14046,1.51331,0.00132043,0.00132043,0.00132043
23,192.295,1.03805,0.82494,1.18968,0.84806,0.81911,0.87859,0.54012,1.38653,0.98099,1.52436,0.00130393,0.00130393,0.00130393
24,201.242,1.02605,0.81956,1.18923,0.70381,0.83197,0.81535,0.49604,1.37484,1.1212,1.48901,0.00128742,0.00128742,0.00128742
25,209.727,1.02736,0.81599,1.18925,0.75768,0.85394,0.86353,0.52677,1.30923,1.03375,1.46047,0.00127092,0.00127092,0.00127092
26,218.627,1.02439,0.82457,1.18949,0.71683,0.84534,0.87332,0.54161,1.24512,1.01164,1.44573,0.00125442,0.00125442,0.00125442
27,227.85,1.02369,0.79547,1.18899,0.76467,0.74956,0.8336,0.50185,1.30713,1.05372,1.49404,0.00123791,0.00123791,0.00123791
28,236.665,0.99732,0.78551,1.17584,0.84643,0.69653,0.85248,0.55342,1.21951,0.9966,1.35505,0.00122141,0.00122141,0.00122141
